unit_price_usd,profit_usd,shipping_cost_usd,profit_margin_pct,cost_usd,total_price_usd
50.01,76.07,24.57,47.53,83.96,160.03
62.15,54.34,1.77,30.68,122.79,177.13
228.6,535.05,14.32,46.81,607.95,1143.0
312.76,565.26,18.33,50.2,560.68,1125.94
196.03,209.97,7.14,37.58,348.72,558.69
56.25,106.19,8.9,39.74,161.0,267.19
36.95,51.81,4.15,46.74,59.04,110.85
35.75,24.74,16.3,40.7,36.04,60.78
50.66,54.91,20.39,57.05,41.34,96.25
48.56,13.73,16.77,29.76,32.4,46.13
27.97,39.07,20.65,32.87,79.8,118.87
240.85,370.83,22.04,34.21,713.0,1083.83
109.52,56.29,13.96,20.16,222.99,279.28
389.74,121.04,8.52,32.69,249.21,370.25
244.18,213.09,15.89,24.24,665.96,879.05
229.13,90.69,20.9,24.74,275.92,366.61
225.18,208.4,4.6,48.71,219.44,427.84
30.42,29.58,3.32,48.62,31.26,60.84
193.19,235.96,15.11,30.53,536.8,772.76
257.18,256.62,16.88,52.52,232.02,488.64
40.75,7.18,14.34,13.24,28.52,32.6
142.83,163.36,14.03,57.19,122.3,285.66
161.8,186.24,6.32,33.85,363.88,550.12
15.72,16.7,5.71,49.36,17.13,33.83
40.98,33.18,9.32,40.48,48.78,81.96
391.41,469.2,18.07,31.55,1018.16,1487.36
224.59,376.93,1.84,49.36,386.68,763.61
68.03,143.31,23.51,55.44,115.2,258.51
59.91,30.8,6.78,28.56,77.04,107.84
239.27,49.13,12.02,22.82,166.21,215.34
212.54,228.78,10.58,35.88,408.84,637.62
61.19,15.55,22.6,28.24,39.52,55.07
227.68,104.67,24.75,45.97,123.01,227.68
85.03,97.29,22.06,38.14,157.8,255.09
107.71,27.69,14.95,30.25,63.86,91.55
191.04,185.66,20.07,28.58,463.88,649.54
99.88,231.2,13.63,57.87,168.32,399.52
304.69,154.62,15.58,53.42,134.84,289.46
68.03,110.72,11.44,40.69,161.4,272.12
37.93,34.9,19.43,32.28,73.2,108.1
288.99,765.75,16.02,55.78,606.95,1372.7
58.76,51.31,0.56,51.37,48.58,99.89
51.89,21.23,24.75,45.46,25.47,46.7
41.71,106.8,1.8,51.21,101.75,208.55
203.18,308.85,4.07,32.0,656.25,965.1
169.31,94.63,1.38,32.88,193.2,287.83
210.3,252.7,17.52,42.16,346.65,599.35
226.91,76.75,20.18,35.6,138.81,215.56
15.83,7.18,11.88,27.12,13.04,22.06
138.28,217.65,15.77,43.72,280.16,497.81
21.69,27.66,6.42,33.56,54.76,82.42
74.69,44.64,17.12,59.01,30.05,74.69
75.44,61.0,3.5,31.71,131.37,192.37
34.8,8.3,0.36,14.91,47.38,55.68
305.1,400.03,2.77,51.42,377.97,778.0
60.37,37.85,12.03,39.19,58.74,96.59
98.54,46.89,21.38,47.58,51.65,98.54
51.31,14.32,14.42,29.38,34.42,48.74
125.26,96.13,2.77,28.42,242.07,338.2
61.75,176.95,21.95,57.31,131.8,308.75
122.89,252.5,5.22,41.09,361.95,614.45
63.91,74.88,8.36,39.05,116.85,191.73
209.29,308.78,5.92,38.83,486.52,795.3
252.65,105.7,8.62,49.22,109.05,214.75
188.38,242.87,21.79,30.34,557.75,800.62
179.54,80.84,0.92,47.4,89.72,170.56
400.34,715.28,22.5,52.55,645.88,1361.16
31.21,23.02,12.94,38.82,36.28,59.3
272.4,88.44,1.65,32.47,183.96,272.4
56.04,71.86,11.19,32.06,152.3,224.16
59.45,30.78,24.21,54.5,25.7,56.48
33.08,69.18,11.15,55.04,56.52,125.7
42.75,21.78,6.75,26.82,59.44,81.22
27.7,15.89,16.32,57.36,13.04,27.7
468.49,611.81,11.37,40.81,887.36,1499.17
174.9,85.03,1.16,48.62,89.87,174.9
405.87,214.41,17.6,55.61,171.17,385.58
231.78,256.89,19.62,32.6,531.16,788.05
36.11,57.84,23.36,40.04,86.6,144.44
443.15,133.64,13.75,30.16,309.51,443.15
473.58,182.72,2.65,38.58,290.86,473.58
176.92,83.0,10.05,27.6,217.76,300.76
381.04,202.07,21.35,29.46,483.8,685.87
58.68,47.86,2.26,45.31,57.76,105.62
190.37,301.52,23.75,37.27,507.55,809.07
49.06,48.66,13.69,49.59,49.46,98.12
73.47,42.69,19.77,58.11,30.78,73.47
35.56,106.1,22.99,59.01,71.7,177.8
147.82,305.24,18.49,45.89,359.95,665.19
55.75,19.6,18.22,39.07,30.57,50.17
54.62,22.19,3.87,23.9,70.66,92.85
374.98,423.97,12.81,31.41,925.96,1349.93
86.79,84.04,11.42,26.9,228.4,312.44
73.13,50.41,9.44,38.3,81.22,131.63
168.74,235.98,6.96,46.62,270.24,506.22
78.03,108.23,24.41,30.82,242.9,351.13
29.34,60.32,22.8,51.4,57.04,117.36
191.3,57.49,4.18,35.36,105.11,162.6
30.57,7.37,9.04,15.07,41.54,48.91
36.69,32.37,0.32,27.57,85.04,117.41
88.59,130.98,22.21,54.76,108.21,239.19
333.37,784.3,0.25,49.44,842.8,1666.85
193.39,311.07,11.42,53.62,269.1,580.17
47.39,17.56,1.01,39.0,27.46,45.02
32.28,32.71,16.22,37.53,54.45,87.16
20.37,7.6,2.67,37.31,13.04,22.06
98.67,99.38,22.75,50.36,97.96,197.34
236.19,706.75,16.98,59.01,474.2,1180.95
48.95,49.75,20.82,53.49,43.26,93.01
233.17,188.14,21.87,29.88,441.42,629.56
249.66,245.13,19.41,51.68,229.22,474.35
85.76,38.13,24.75,24.7,116.24,154.37
159.03,145.73,24.75,21.56,530.15,675.88
171.23,257.67,2.65,50.16,256.02,513.69
140.79,309.61,0.68,51.74,288.75,598.36
39.82,33.05,4.34,32.55,68.49,101.54
23.33,20.5,6.09,27.46,54.16,74.66
385.16,356.86,16.14,32.51,740.85,1097.71
